iri,label,deprecated,parents,children_count,source_branch,generated_at
http://lmss.sali.org/#GovB-US-FD-DHS-HSARPA,,true,,0,V3,2026-01-30T09:42:06.269413Z
http://lmss.sali.org/--siJUzaRTGX0W0PqH06lw,"Community Food and Housing, and Emergency and Other Relief Services",false,http://lmss.sali.org/R8sg6ZiCdJPHi2EUyh7BiZf,3,V3,2026-01-30T09:42:06.269663Z
http://lmss.sali.org/-1J12mefTK-mm-m8-Klmow,Casino Hotels,false,http://lmss.sali.org/XXHX_FpRRw2wjNxpHCYi3A,0,V3,2026-01-30T09:42:06.269772Z
http://lmss.sali.org/-2Lhd7qESeGn8ri84qBhBA,Cutlery and Handtool Manufacturing,false,http://lmss.sali.org/Ebi1FLjOSRqXDvrM65TO6A,1,V3,2026-01-30T09:42:06.269881Z
http://lmss.sali.org/-2gRm-5aTO2n7z3Buw_MRA,Sawmills and Wood Preservation,false,http://lmss.sali.org/R6BuVjQc5Xltba4bK4jk3h,1,V3,2026-01-30T09:42:06.269985Z
http://lmss.sali.org/-37inK4ESva_AnpLBUMm2A,Warehouse Clubs and Supercenters,false,http://lmss.sali.org/vC_ktnWvR4ST75CIMUAoEA,0,V3,2026-01-30T09:42:06.270107Z
http://lmss.sali.org/-4wB9ZyCQUKEkK823tvfqg,Dairy Cattle and Milk Production,false,http://lmss.sali.org/uvuQmp65S4a_MkaUra8xhQ,1,V3,2026-01-30T09:42:06.270236Z
http://lmss.sali.org/-6FDm3tWRequJ90cvT0ySQ,Fruit and Tree Nut Combination Farming,false,http://lmss.sali.org/SMxNxWmNRdaY3reO9Yl_2A,0,V3,2026-01-30T09:42:06.270342Z
http://lmss.sali.org/-7Pf8WICQOGniC9cMZ_Cvg,Collection Agencies,false,http://lmss.sali.org/ohVoZyP5T5evUBYNm7bTfQ,0,V3,2026-01-30T09:42:06.270449Z
http://lmss.sali.org/-AKi-qdIQB6zXs-uHPYUZA,Abrasive Product Manufacturing,false,http://lmss.sali.org/FQRPl0mWQw6wcgApCjO-iA,1,V3,2026-01-30T09:42:06.270556Z
http://lmss.sali.org/-Cm9mv-7RueAjbhc-pGpkA,Household and Institutional Furniture and Kitchen Cabinet Manufacturing,false,http://lmss.sali.org/RDQhLz0PnZB43VXzrf46Spa,2,V3,2026-01-30T09:42:06.270665Z
http://lmss.sali.org/-CxiRQ72RV-ICeqxtmUMnA,"Specialized Freight (except Used Goods) Trucking, Local",false,http://lmss.sali.org/CYRHnSWjTcimh_SBt-83tw,1,V3,2026-01-30T09:42:06.270779Z
